"Stkcd","Ddate","BPS"
"000039","2014-12-31","10.207969"
"000039","2015-12-31","11.919752"
"000039","2016-12-31","13.138755"
"000039","2017-12-31","14.495154"
"000039","2018-12-31","17.555505"
"000039","2019-12-31","15.354419"
"000039","2020-12-31","14.980149"
"000039","2021-12-31","15.849755"
"000039","2022-12-31","11.619071"
"000040","2004-12-31","1.874086"
"000040","2005-12-31","2.044320"
"000040","2009-12-31","2.164284"
"000040","2010-12-31","1.881358"
"000040","2011-12-31","2.098930"
"000040","2012-12-31","2.480410"
"000040","2013-12-31","2.667168"
"000040","2014-12-31","2.701389"
"000040","2015-12-31","2.822819"
"000040","2016-12-31","8.199328"
"000040","2017-12-31","8.644702"
"000040","2018-12-31","9.799878"
"000040","2019-12-31","9.093278"
"000040","2020-12-31","8.201924"
"000040","2022-12-31","7.574091"
"000042","2002-12-31","6.275155"
"000042","2003-12-31","6.530399"
"000042","2007-12-31","7.966053"
"000042","2008-12-31","7.271374"
"000042","2009-12-31","8.651602"
"000042","2010-12-31","9.959719"
"000042","2011-12-31","10.559452"
"000042","2012-12-31","12.119146"
"000042","2013-12-31","12.807669"
"000042","2014-12-31","6.892092"
"000042","2015-12-31","8.444507"
"000042","2016-12-31","8.815990"
"000042","2017-12-31","10.354231"
"000042","2018-12-31","11.531183"
"000042","2019-12-31","12.052341"
"000042","2020-12-31","12.329188"
"000042","2021-12-31","12.376718"
"000043","2005-12-31","3.499266"
"000043","2006-12-31","4.105433"
"000043","2007-12-31","7.885937"
"000043","2008-12-31","7.843774"
"000043","2009-12-31","9.343580"
"000043","2010-12-31","10.625619"
"000043","2011-12-31","10.194942"
"000043","2012-12-31","6.050665"
"000043","2013-12-31","6.166415"
"000043","2014-12-31","6.229393"
"000043","2015-12-31","7.039904"
"000043","2016-12-31","7.088610"
"000043","2017-12-31","6.894798"
"000043","2018-12-31","7.324695"
"000043","2019-12-31","7.546736"
"000043","2020-12-31","7.816969"
"000043","2021-12-31","8.087378"
"000043","2022-12-31","8.781238"
"000045","2005-12-31","1.811167"
"000045","2006-12-31","1.800539"
"000045","2009-12-31","2.012232"
"000045","2010-12-31","3.999649"
"000045","2011-12-31","4.069954"
"000045","2012-12-31","3.871998"
"000045","2013-12-31","4.536520"
"000045","2014-12-31","4.335942"
"000045","2015-12-31","4.293141"
"000045","2016-12-31","6.791650"
"000045","2017-12-31","6.890665"
"000045","2018-12-31","6.766390"
"000045","2021-12-31","7.825584"
"000045","2022-12-31","7.958279"
"000046","2006-12-31","4.740055"
"000046","2007-12-31","5.657404"
"000046","2008-12-31","3.826096"
